"id","submission_date","user_id","dsr_note"
4,"2018-03-21","aish","The fs module includes a high-level writeFile method that can write data to files asynchronously. This means, like with a lot of operations in Node.js, the I/O is non-blocking, and emits an event when the operation finishes. We can write a callback function to run when the writeFile returns."
5,"2018-03-28","aish","The fs module includes a high-level writeFile method that can write data to files asynchronously. This means, like with a lot of operations in Node.js, the I/O is non-blocking, and emits an event when the operation finishes. We can write a callback function to run when the writeFile returns.The fs module includes a high-level writeFile method that can write data to files asynchronously. This means, like with a lot of operations in Node.js, the I/O is non-blocking, and emits an event when the operation finishes. We can write a callback function to run when the writeFile returns."
29,"2018-03-29","1234","1234
64
79
7nbnnnn"
22,"2018-03-30","aish","plplplpl"
31,"2018-04-01","1","heyy"
41,"2018-04-02","1","hi"
36,"2018-04-04","malhotra.a","acvadada"
34,"2018-04-05","aish","hello"
37,"2018-04-06","jitendra.kh","hello"
38,"2018-04-12","aish",""
50,"2018-04-18","1234"," Two new books tout the benefits of drawing, sketching, and doodling as tools to facilitate thinking. While a spate of branded and bespoke blank sketchbooks, journals, and pads meant for drawing are also sparking something of a renewed interest in the practice. Perhaps it's a kind of artistic rebellion over .."